deal_id,funded_amount,funded_date,industry_id
a4Gf1000000nSfxEAE,4000,7/25/2020,4
a4Gf1000000nSfyEAE,30000,7/24/2019,2
a4Gf1000000nSg0EAE,80000,11/30/2020,4
a4Gf1000000nSg8EAE,22000,6/12/2019,4
a4Gf1000000nSgEEAU,6000,4/29/2018,3
a4Gf1000000nSgKEAU,25000,8/7/2020,4
a4Gf1000000nSgPEAU,7100,12/31/2020,2
a4Gf1000000nSgSEAU,19000,9/10/2018,4
a4Gf1000000nSgTEAU,20000,1/31/2018,2
a4Gf1000000nSgUEAU,20000,12/11/2020,1
a4Gf1000000nSgWEAU,6000,11/15/2020,4
a4Gf1000000nSgZEAU,4000,7/24/2019,1
a4Gf1000000nSgbEAE,2200,4/7/2019,1
a4Gf1000000nSgeEAE,10000,11/20/2018,2
a4Gf1000000nSggEAE,20000,10/22/2020,2
a4Gf1000000nSgjEAE,15000,12/9/2019,1
a4Gf1000000nSguEAE,35000,10/26/2019,4
a4Gf1000000nSgvEAE,3000,3/17/2020,1
a4Gf1000000nSh7EAE,50000,4/10/2019,4
a4Gf1000000nShBEAU,5700,4/28/2018,3
a4Gf1000000nShCEAU,5000,11/10/2019,1
a4Gf1000000nShFEAU,28500,5/15/2020,2
a4Gf1000000nShOEAU,8000,1/20/2019,4
a4Gf1000000nShQEAU,30000,7/23/2019,2
a4Gf1000000nShTEAU,30000,11/5/2019,2
a4Gf1000000nShUEAU,24000,3/24/2020,1
a4Gf1000000nSheEAE,25000,5/25/2018,3
a4Gf1000000nShkEAE,8000,9/17/2020,3
a4Gf1000000nShqEAE,4000,3/19/2019,3
a4Gf1000000nShsEAE,10000,7/4/2020,4
a4Gf1000000nShuEAE,10000,1/14/2019,4
a4Gf1000000nShvEAE,13000,12/5/2020,2
a4Gf1000000nShxEAE,22000,5/24/2019,2
a4Gf1000000nSi1EAE,100000,10/27/2020,2
a4Gf1000000nSi3EAE,20000,1/22/2019,1
a4Gf1000000nSiFEAU,3300,1/2/2019,4
a4Gf1000000nSiIEAU,40000,12/29/2020,1
a4Gf1000000nSiNEAU,6000,1/7/2020,2
a4Gf1000000nSiOEAU,15000,4/4/2019,4
a4Gf1000000nSiTEAU,5600,7/17/2019,2
a4Gf1000000nSiiEAE,8800,11/20/2018,1
a4Gf1000000nSikEAE,5500,2/24/2020,4
a4Gf1000000nSimEAE,8800,7/12/2019,2
a4Gf1000000nSinEAE,10000,5/10/2018,2
a4Gf1000000nSioEAE,6000,9/8/2018,2
a4Gf1000000nSizEAE,26000,7/19/2019,4
a4Gf1000000nSj7EAE,3800,5/6/2019,2
a4Gf1000000nSjAEAU,21500,1/13/2018,3
a4Gf1000000nSjMEAU,12000,12/6/2019,4
a4Gf1000000nSjQEAU,15000,10/10/2019,1
a4Gf1000000nSjSEAU,4700,9/25/2020,4
a4Gf1000000nSjaEAE,5000,4/26/2018,1
a4Gf1000000nSjcEAE,6000,6/19/2018,3
a4Gf1000000nSjhEAE,5000,9/17/2018,3
a4Gf1000000nSjlEAE,5000,9/19/2019,4
a4Gf1000000nSjpEAE,5000,9/6/2019,1
a4Gf1000000nSjtEAE,3000,8/5/2019,2
a4Gf1000000nSjzEAE,4500,9/21/2020,3
a4Gf1000000nSk3EAE,12000,9/25/2020,2
a4Gf1000000nSk4EAE,60000,9/27/2020,3
a4Gf1000000nSk8EAE,14000,10/10/2020,2
a4Gf1000000nSkAEAU,12000,12/21/2019,4
a4Gf1000000nSkDEAU,6000,2/17/2018,3
a4Gf1000000nSkGEAU,3500,12/3/2020,2
a4Gf1000000nSkIEAU,8800,3/19/2020,4
a4Gf1000000nSkJEAU,7000,5/30/2019,2
a4Gf1000000nSkPEAU,18000,11/9/2018,2
a4Gf1000000nSkUEAU,20000,10/2/2019,4
a4Gf1000000nSkVEAU,4200,3/24/2020,3
a4Gf1000000nSkeEAE,30000,4/16/2020,1
a4Gf1000000nSkgEAE,25000,6/10/2020,1
a4Gf1000000nSkhEAE,35000,3/28/2020,1
a4Gf1000000nSklEAE,5800,4/11/2018,2
a4Gf1000000nSkqEAE,5000,10/3/2019,4
a4Gf1000000nSkyEAE,20000,5/20/2020,1
a4Gf1000000nSl0EAE,5000,8/25/2020,2
a4Gf1000000nSl1EAE,25000,8/9/2020,3
a4Gf1000000nSl4EAE,12000,3/6/2020,4
a4Gf1000000nSlAEAU,20000,3/10/2019,3
a4Gf1000000nSlCEAU,6000,6/18/2018,4
a4Gf1000000nSlIEAU,6600,6/20/2018,3
a4Gf1000000nSlJEAU,8000,7/4/2019,4
a4Gf1000000nSlLEAU,4000,12/30/2018,1
a4Gf1000000nSlUEAU,4500,8/9/2020,3
a4Gf1000000nSlYEAU,3500,10/13/2018,2
a4Gf1000000nSldEAE,25000,1/20/2020,1
a4Gf1000000nSlhEAE,6000,4/30/2020,1
a4Gf1000000nSlmEAE,40000,7/7/2020,2
a4Gf1000000nSlnEAE,8800,10/26/2019,3
a4Gf1000000nSlrEAE,17500,4/25/2018,4
a4Gf1000000nSluEAE,60000,11/22/2018,2
a4Gf1000000nSlzEAE,10000,8/26/2018,3
a4Gf1000000nSm5EAE,26000,3/17/2018,4
a4Gf1000000nSmCEAU,6000,7/22/2018,3
a4Gf1000000nSmHEAU,21000,12/25/2019,4
a4Gf1000000nSmKEAU,6100,3/20/2020,2
a4Gf1000000nSmOEAU,11000,7/28/2019,3
a4Gf1000000nSmPEAU,1800,10/15/2019,2
a4Gf1000000nSmSEAU,5500,3/28/2019,2
a4Gf1000000nSmUEAU,5600,6/14/2019,2
a4Gf1000000nSmXEAU,2000,6/19/2019,4
a4Gf1000000nSmdEAE,12000,11/28/2019,3
a4Gf1000000nSmmEAE,6700,9/25/2019,3
a4Gf1000000nSmoEAE,23000,6/7/2019,4
a4Gf1000000nSmqEAE,11000,6/24/2019,4
a4Gf1000000nSmsEAE,4000,6/5/2018,4
a4Gf1000000nSn6EAE,21000,3/3/2019,2
a4Gf1000000nSnDEAU,3200,1/19/2018,1
a4Gf1000000nSnEEAU,1400,12/16/2018,4
a4Gf1000000nSnLEAU,4600,4/29/2018,3
a4Gf1000000nSnPEAU,4500,12/23/2018,4
a4Gf1000000nSnVEAU,22000,5/1/2018,1
a4Gf1000000nSnXEAU,12000,10/31/2018,2
a4Gf1000000nSnaEAE,10000,5/31/2018,1
a4Gf1000000nSncEAE,13000,4/18/2018,1
a4Gf1000000nSneEAE,13000,8/18/2020,3
a4Gf1000000nSnfEAE,4000,1/23/2019,4
a4Gf1000000nSniEAE,7000,5/29/2018,2
a4Gf1000000nSnmEAE,5000,9/18/2020,2
a4Gf1000000nSnqEAE,12000,7/20/2020,2
a4Gf1000000nSnrEAE,20000,5/15/2019,2
a4Gf1000000nSnzEAE,3200,10/31/2018,2
a4Gf1000000nSo2EAE,4000,8/28/2020,2
a4Gf1000000nSo6EAE,55000,8/3/2019,4
a4Gf1000000nSoEEAU,7500,8/5/2018,4
a4Gf1000000nS5YEAU,7000,5/24/2018,3
a4Gf1000000nS5bEAE,9500,1/11/2019,4
a4Gf1000000nS5hEAE,6600,11/25/2019,2
a4Gf1000000nS5oEAE,9000,7/6/2020,3
a4Gf1000000nS5sEAE,7500,8/1/2020,1
a4Gf1000000nS5xEAE,2500,11/1/2018,2
a4Gf1000000nS60EAE,4000,10/4/2020,4
a4Gf1000000nS66EAE,3500,5/15/2019,4
a4Gf1000000nS67EAE,45000,7/14/2018,4
a4Gf1000000nS6AEAU,5000,3/27/2018,2
a4Gf1000000nS6DEAU,22500,8/30/2019,4
a4Gf1000000nS6EEAU,6600,10/15/2019,4
a4Gf1000000nS6MEAU,6600,3/24/2018,3
a4Gf1000000nS6OEAU,14000,9/30/2018,4
a4Gf1000000nS6REAU,90000,12/19/2020,4
a4Gf1000000nS6TEAU,21600,2/8/2019,2
a4Gf1000000nS6YEAU,12000,2/22/2018,1
a4Gf1000000nS6ZEAU,12000,9/20/2019,4
a4Gf1000000nS6aEAE,15000,3/18/2019,1
a4Gf1000000nS6bEAE,4200,5/11/2019,2
a4Gf1000000nS6eEAE,10000,4/23/2020,4
a4Gf1000000nS6hEAE,4000,3/10/2019,4
a4Gf1000000nS6vEAE,16000,4/28/2018,2
a4Gf1000000nS6wEAE,13000,5/27/2019,2
a4Gf1000000nS71EAE,30000,11/14/2019,2
a4Gf1000000nS77EAE,15000,5/12/2020,2
